PEJVOにあってvortaro.tsvにない語根: 2730個

語根リスト(例単語付き):
a-vort	# PEJVO例: a-vort/o
ŝim	# PEJVO例: ŝim/ig/i
ŝink	# PEJVO例: ŝink/et/o
ŝinto	# PEJVO例: ŝinto/an/o
ŝir	# PEJVO例: ŝir/ad/o
ŝirm	# PEJVO例: ŝirm/a
ŝlagr	# PEJVO例: ŝlagr/o
ŝlem	# PEJVO例: ŝlem/o
ŝlim	# PEJVO例: ŝlim/i
ŝlos	# PEJVO例: ŝlos/il/ar/o
ŝmink	# PEJVO例: ŝmink/ist/in/o
ŝmir	# PEJVO例: ŝmir/a
ŝnur	# PEJVO例: ŝnur/ad/o
ŝogun	# PEJVO例: ŝogun/o
ŝos	# PEJVO例: ŝos/et/o
ŝose	# PEJVO例: ŝose/a
ŝov	# PEJVO例: ŝov/iĝ/ad/o
ŝovel	# PEJVO例: ŝovel/ad/o
ŝpar	# PEJVO例: ŝpar/a
ŝpic	# PEJVO例: ŝpic/o
ŝpin	# PEJVO例: ŝpin/fask/o
ŝpruc	# PEJVO例: ŝpruc/a
ŝraŭb	# PEJVO例: ŝraŭb/a
ŝrump	# PEJVO例: ŝrump/ad/o
ŝtal	# PEJVO例: ŝtal/var/oj
ŝtern	# PEJVO例: ŝtern/o
ŝtip	# PEJVO例: ŝtip/ej/o
ŝtop	# PEJVO例: ŝtop/ad/o
ŝtrump	# PEJVO例: ŝtrump/o/ruband/o
ŝtup	# PEJVO例: ŝtup/ar/e
ŝu	# PEJVO例: ŝu/aĉ/oj
ŝuld	# PEJVO例: ŝuld/a
ŝunt	# PEJVO例: ŝunt/ad/o
ŝut	# PEJVO例: ŝut/aĵ/o
ŝvab	# PEJVO例: ŝvab/a
ŝveb	# PEJVO例: ŝveb/aĵ/o
ŝvel	# PEJVO例: ŝvel/a
ŝvit	# PEJVO例: ŝvit/ej/o
